Status,Position/Ticket,Symbol,Type,Volume,Open Price,Close Price,Pips,Duration (s),Swap,Commission,Profit,Net P/L,Magic,Comment,Open Time,Close Time
Closed,57359964,EURUSD.i,BUY,0.03,1.15471,1.15591,12,41786,0,-0.21,3.6,3.39,123,Market Master EA,2026.04.02 14:00:00,2026.04.03 01:36:26
Closed,57094556,EURUSD.i,SELL,0.12,1.15917,1.15512,40.5,68479,1.14,-0.84,48.6,48.9,123,Market Master E[p=56886545],2026.04.01 17:31:15,2026.04.02 12:32:34
Closed,56886545,EURUSD.i,SELL,0.03,1.14922,1.15513,-59.1,135153,0.42,-0.21,-17.73,-17.52,123,Market Master EA,2026.03.31 23:00:00,2026.04.02 12:32:33
Closed,56973390,EURUSD.i,SELL,0.06,1.15417,1.15513,-9.6,118340,0.82,-0.42,-5.76,-5.36,123,Market Master E[p=56886545],2026.04.01 03:40:13,2026.04.02 12:32:33
Closed,55898675,EURUSD.i,BUY,0.03,1.15699,1.15818,11.9,5736,0,-0.21,3.57,3.36,123,Market Master EA,2026.03.26 03:00:00,2026.03.26 04:35:36
Closed,55864421,EURUSD.i,BUY,0.03,1.15739,1.15858,11.9,2942,0,-0.21,3.57,3.36,123,Market Master EA,2026.03.26 01:00:00,2026.03.26 01:49:02
Closed,54229194,EURUSD.i,SELL,0.03,1.15189,1.15069,12,1579,0,-0.21,3.6,3.39,123,Market Master EA,2026.03.20 01:00:00,2026.03.20 01:26:19
Closed,53455359,EURUSD.i,SELL,0.06,1.15252,1.14961,29.1,87036,0.2,-0.42,17.46,17.24,123,Market Master E[p=53025916],2026.03.18 00:00:20,2026.03.19 00:10:56
Closed,53025916,EURUSD.i,SELL,0.03,1.14752,1.14961,-20.9,180655,0.2,-0.21,-6.27,-6.28,123,Market Master EA,2026.03.16 22:00:00,2026.03.19 00:10:55
Closed,49992115,EURUSD.i,SELL,0.03,1.16338,1.16213,12.5,12994,0,-0.21,3.75,3.54,123,Market Master EA,2026.03.04 21:00:00,2026.03.05 00:36:34
Closed,47786856,EURUSD.i,SELL,0.03,1.17924,1.17801,12.3,27460,0,-0.21,3.69,3.48,123,Market Master EA,2026.02.25 13:00:00,2026.02.25 20:37:40
Closed,47069816,EURUSD.i,SELL,0.03,1.17885,1.17763,12.2,1626,0,-0.21,3.66,3.45,123,Market Master EA,2026.02.21 02:00:00,2026.02.21 02:27:06
Closed,45044904,EURUSD.i,BUY,0.03,1.18604,1.18724,12,5410,0,-0.21,3.6,3.39,123,Market Master EA,2026.02.12 01:00:00,2026.02.12 02:30:10
Closed,44460929,EURUSD.i,SELL,0.06,1.186,1.18722,-12.2,193506,0.38,-0.42,-7.32,-7.36,123,Market Master E[p=44268429],2026.02.09 17:44:56,2026.02.11 23:30:02
Closed,44542064,EURUSD.i,SELL,0.12,1.191,1.18744,35.6,170362,0.78,-0.84,42.72,42.66,123,Market Master E[p=44268429],2026.02.10 00:10:40,2026.02.11 23:30:02
Closed,44268429,EURUSD.i,BUY,0.03,1.18658,1.18658,0,60,0.3,-0.21,-16.74,-16.65,123,,2026.02.11 23:29:01,2026.02.11 23:30:01
Closed,44766203,EURUSD.i,BUY,0.03,1.18935,1.19061,12.6,1882,0,-0.21,3.78,3.57,123,Market Master EA,2026.02.10 23:00:00,2026.02.10 23:31:22
Closed,42526634,EURUSD.i,SELL,0.03,1.19295,1.19295,0,60,0,-0.21,3.72,3.51,123,,2026.01.30 14:06:03,2026.01.30 14:07:03
Closed,40849303,EURUSD.i,BUY,0.03,1.17033,1.17156,12.3,5250,0,-0.21,3.69,3.48,123,Market Master EA,2026.01.21 20:00:00,2026.01.21 21:27:30
Closed,40293798,EURUSD.i,SELL,0.03,1.16192,1.1607,12.2,12237,0,-0.21,3.66,3.45,123,Market Master EA,2026.01.16 22:00:00,2026.01.17 01:23:57
Closed,39950251,EURUSD.i,SELL,0.03,1.16598,1.16478,12,1241,0,-0.21,3.6,3.39,123,Market Master EA,2026.01.14 23:00:00,2026.01.14 23:20:41
Closed,39594668,EURUSD.i,SELL,0.03,1.16848,1.16727,12.1,32271,0,-0.21,3.63,3.42,123,Market Master EA,2026.01.12 18:00:00,2026.01.13 02:57:51
Closed,39541956,EURUSD.i,SELL,0.03,1.16653,1.16533,12,12966,0,-0.21,3.6,3.39,123,Market Master EA,2026.01.12 11:00:00,2026.01.12 14:36:06
Closed,38166297,EURUSD.i,BUY,0.03,1.17565,1.17686,12.1,3559,0,-0.21,3.63,3.42,123,Market Master EA,2025.12.29 16:00:00,2025.12.29 16:59:19
Closed,37242925,EURUSD.i,BUY,0.03,1.17216,1.17354,13.8,11762,0,-0.21,4.14,3.93,123,Market Master EA,2025.12.18 20:00:00,2025.12.18 23:16:02
Closed,37046677,EURUSD.i,BUY,0.03,1.17107,1.17233,12.6,14019,0,-0.21,3.78,3.57,123,Market Master EA,2025.12.17 17:00:00,2025.12.17 20:53:39
Closed,35782808,EURUSD.i,BUY,0.03,1.16339,1.16463,12.4,3888,0,-0.21,3.72,3.51,123,Market Master EA,2025.12.06 03:00:00,2025.12.06 04:04:48
Closed,35233633,EURUSD.i,BUY,0.03,1.15955,1.16076,12.1,2183,0,-0.21,3.63,3.42,123,Market Master EA,2025.12.03 03:00:00,2025.12.03 03:36:23
Closed,34737888,EURUSD.i,BUY,0.03,1.15705,1.15829,12.4,21451,0,-0.21,3.72,3.51,123,Market Master EA,2025.11.28 19:00:00,2025.11.29 00:57:31
Closed,34636882,EURUSD.i,BUY,0.03,1.15778,1.15901,12.3,9474,0,-0.21,3.69,3.48,123,Market Master EA,2025.11.27 20:00:00,2025.11.27 22:37:54
Closed,34220527,EURUSD.i,SELL,0.03,1.15451,1.15656,-20.5,88546,0.12,-0.21,-6.15,-6.24,123,Market Master EA,2025.11.25 23:00:00,2025.11.26 23:35:46
Closed,34406656,EURUSD.i,SELL,0.06,1.15949,1.15657,29.2,26096,0,-0.42,17.52,17.1,123,Market Master E[p=34220527],2025.11.26 16:20:50,2025.11.26 23:35:46
Closed,34192075,EURUSD.i,SELL,0.03,1.15389,1.15268,12.1,2543,0,-0.21,3.63,3.42,123,Market Master EA,2025.11.25 21:00:00,2025.11.25 21:42:23
Closed,33939389,EURUSD.i,SELL,0.03,1.15409,1.1529,11.9,12306,0,-0.21,3.57,3.36,123,Market Master EA,2025.11.24 21:00:00,2025.11.25 00:25:06
Closed,31043409,EURUSD.i,SELL,0.03,1.1501,1.16022,-101.2,954241,1.09,-0.21,-30.36,-29.48,123,Market Master EA,2025.11.06 11:00:00,2025.11.17 12:04:01
Closed,31308264,EURUSD.i,SELL,0.06,1.15513,1.16022,-50.9,832236,1.96,-0.42,-30.54,-29,123,Market Master E[p=31043409],2025.11.07 20:53:24,2025.11.17 12:04:00
Closed,31720951,EURUSD.i,SELL,0.12,1.1601,1.16023,-1.3,476540,2.95,-0.84,-1.56,0.55,123,Market Master E[p=31043409],2025.11.11 23:41:40,2025.11.17 12:04:00
Closed,32154571,EURUSD.i,SELL,0.24,1.16509,1.16022,48.7,290766,1.99,-1.68,116.88,117.19,123,Market Master E[p=31043409],2025.11.14 03:17:54,2025.11.17 12:04:00
