Status,Position/Ticket,Symbol,Type,Volume,Open Price,Close Price,Pips,Duration (s),Swap,Commission,Profit,Net P/L,Magic,Comment,Open Time,Close Time
Open,317731670,EURUSD,SELL,0.01,1.18068,,,,0.02,0,1.78,,11333,EUROSTABLE V3.3 EA,2026.04.15 02:00:03,
Open,317727047,EURUSD,SELL,0.01,1.18029,,,,0.02,0,1.39,,11333,EUROSTABLE V3.3 EA,2026.04.15 00:00:03,
Open,317722437,EURUSD,SELL,0.01,1.17966,,,,0.02,0,0.76,,11333,EUROSTABLE V3.3 EA,2026.04.14 21:15:04,
Open,317717475,EURUSD,SELL,0.01,1.17848,,,,0.02,0,-0.42,,11333,EUROSTABLE V3.3 EA,2026.04.14 18:15:03,
Open,317716421,EURUSD,SELL,0.01,1.17764,,,,0.02,0,-1.26,,11333,EUROSTABLE V3.3 EA,2026.04.14 18:00:02,
Open,317712642,EURUSD,SELL,0.01,1.17636,,,,0.02,0,-2.54,,11333,EUROSTABLE V3.3 EA,2026.04.14 14:45:52,
Open,317711769,EURUSD,SELL,0.01,1.17575,,,,0.02,0,-3.15,,11333,EUROSTABLE V3.3 EA,2026.04.14 13:30:02,
Closed,317707923,EURUSD,SELL,0.01,1.17612,1.17587,2.500000000000835,14810,0,0,0.25,0.25,11333,EUROSTABLE V3.3 EA[tp],2026.04.14 09:15:03,2026.04.14 13:21:53
Closed,317709358,EURUSD,SELL,0.01,1.17661,1.17587,7.399999999999629,8511,0,0,0.74,0.74,11333,EUROSTABLE V3.3 EA[tp],2026.04.14 11:00:02,2026.04.14 13:21:53
Closed,317665443,EURUSD,SELL,0.01,1.17193,1.16722,47.09999999999992,187505,0.02,0,4.71,4.73,11333,EUROSTABLE V3.3 EA[tp],2026.04.11 04:00:03,2026.04.13 08:05:08
Closed,317665071,EURUSD,SELL,0.01,1.17132,1.16722,40.99999999999993,188405,0.02,0,4.1,4.12,11333,EUROSTABLE V3.3 EA[tp],2026.04.11 03:45:03,2026.04.13 08:05:08
Closed,317667042,EURUSD,SELL,0.01,1.17289,1.16722,56.70000000000064,182106,0.02,0,5.67,5.69,11333,EUROSTABLE V3.3 EA[tp],2026.04.11 05:30:02,2026.04.13 08:05:08
Closed,317663811,EURUSD,SELL,0.01,1.17214,1.17167,4.699999999999704,2477,0,0,0.47,0.47,11333,EUROSTABLE V3.3 EA[tp],2026.04.11 03:00:02,2026.04.11 03:41:19
Closed,317662200,EURUSD,SELL,0.01,1.17341,1.17254,8.700000000001484,1900,0,0,0.87,0.87,11333,EUROSTABLE V3.3 EA[tp],2026.04.11 02:15:03,2026.04.11 02:46:43
Closed,317661743,EURUSD,SELL,0.01,1.17272,1.17254,1.80000000000069,2802,0,0,0.18,0.18,11333,EUROSTABLE V3.3 EA[tp],2026.04.11 02:00:01,2026.04.11 02:46:43
Closed,317658694,EURUSD,SELL,0.01,1.17288,1.17263,2.4999999999986144,3627,0,0,0.25,0.25,11333,EUROSTABLE V3.3 EA[tp],2026.04.11 00:45:03,2026.04.11 01:45:30
