Status,Position/Ticket,Symbol,Type,Volume,Open Price,Close Price,Pips,Duration (s),Swap,Commission,Profit,Net P/L,Magic,Comment,Open Time,Close Time
Closed,72947532,USDJPY.i,BUY,0.01,158.773,158.803,3.0000000000001137,5775,0,-0.07,0.19,0.12,565656,JapanStrike EA[sl],2026.04.15 04:30:01,2026.04.15 06:06:16
Closed,72936444,USDJPY.i,BUY,0.01,158.849,158.892,4.300000000000637,19082,0,-0.07,0.27,0.2,565656,JapanStrike EA[sl],2026.04.14 21:45:01,2026.04.15 03:03:03
Closed,72928732,USDJPY.i,BUY,0.01,159.146,159.21,6.400000000002137,13387,0,-0.07,0.4,0.33,565656,JapanStrike EA[sl],2026.04.14 14:00:01,2026.04.14 17:43:08
Closed,72922653,USDJPY.i,BUY,0.01,159.406,159.42,1.3999999999981583,12018,0,-0.07,0.09,0.02,565656,JapanStrike EA[sl],2026.04.14 04:15:01,2026.04.14 07:35:19
Closed,72921104,USDJPY.i,SELL,0.01,159.742,159.504,23.799999999999955,2839,0,-0.07,1.49,1.42,565656,JapanStrike EA[tp],2026.04.14 03:00:00,2026.04.14 03:47:19
Closed,72913601,USDJPY.i,BUY,0.01,159.687,159.711,2.400000000000091,966,0,-0.07,0.15,0.08,565656,JapanStrike EA[sl],2026.04.13 22:15:00,2026.04.13 22:31:06
Closed,72910560,USDJPY.i,BUY,0.01,159.662,159.683,2.0999999999986585,4511,0,-0.07,0.13,0.06,565656,JapanStrike EA[sl],2026.04.13 18:45:01,2026.04.13 20:00:12
Closed,72904697,USDJPY.i,SELL,0.01,159.704,159.652,5.200000000002092,19004,0,-0.07,0.33,0.26,565656,JapanStrike EA[sl],2026.04.13 12:00:00,2026.04.13 17:16:44
Closed,72895195,USDJPY.i,BUY,0.01,159.064,159.106,4.200000000000159,905,0,-0.07,0.26,0.19,565656,JapanStrike EA[sl],2026.04.11 02:15:01,2026.04.11 02:30:06
Closed,72882593,USDJPY.i,SELL,0.01,159.188,159.162,2.5999999999982037,26289,0,-0.07,0.16,0.09,565656,JapanStrike EA[sl],2026.04.10 16:00:01,2026.04.10 23:18:10
Closed,72880422,USDJPY.i,BUY,0.01,159.032,159.155,12.299999999999045,1951,0,-0.07,0.77,0.7,565656,JapanStrike EA[sl],2026.04.10 13:00:00,2026.04.10 13:32:31
Closed,72877365,USDJPY.i,BUY,0.01,159.048,159.064,1.5999999999991132,8568,0.04,-0.07,0.1,0.07,565656,JapanStrike EA[sl],2026.04.10 07:45:00,2026.04.10 10:07:48
Closed,72862840,USDJPY.i,SELL,0.01,158.971,158.669,30.19999999999925,30626,0,-0.07,1.9,1.83,565656,JapanStrike EA[sl],2026.04.09 19:00:01,2026.04.10 03:30:27
Closed,72851404,USDJPY.i,SELL,0.01,158.489,158.669,-18.000000000000682,85527,-0.39,-0.07,-1.13,-1.59,565656,JapanStrike EA[sl],2026.04.09 03:45:00,2026.04.10 03:30:27
