Status,Position/Ticket,Symbol,Type,Volume,Open Price,Close Price,Pips,Duration (s),Swap,Commission,Profit,Net P/L,Magic,Comment,Open Time,Close Time
Open,317705733,EURJPY,SELL,0.01,187.414,,,,-0.16,0,-0.18,,110711,MPRFP,2026.04.14 06:00:00,
Open,317699844,EURJPY,SELL,0.01,187.038,,,,-0.16,0,-2.54,,110711,MPRFP,2026.04.14 02:45:00,
Open,317657795,EURJPY,SELL,0.01,186.681,,,,-0.25,0,-4.79,,110711,MPRFP,2026.04.11 00:30:01,
Open,317651267,EURJPY,SELL,0.01,186.31,,,,-0.25,0,-7.12,,110711,MPRFP,2026.04.10 20:30:01,
Open,317632546,EURJPY,SELL,0.01,185.911,,,,-0.34,0,-9.63,,110711,MPRFP,2026.04.10 04:00:00,
Closed,317621549,EURJPY,SELL,0.01,185.757,185.9,-14.300000000000068,14021,0,0,-0.9,-0.9,110711,MPRFP[tp],2026.04.09 23:15:01,2026.04.10 03:08:42
Closed,317628966,EURJPY,SELL,0.01,186.129,185.9,22.8999999999985,2322,0,0,1.45,1.45,110711,MPRFP[tp],2026.04.10 02:30:00,2026.04.10 03:08:42
Closed,317537285,EURJPY,SELL,0.01,184.529,184.856,-32.69999999999982,60068,-0.09,0,-2.07,-2.16,110711,MPRFP[tp],2026.04.07 21:45:00,2026.04.08 14:26:08
Closed,317560493,EURJPY,SELL,0.01,185.3,184.856,44.40000000000168,16866,0,0,2.8,2.8,110711,MPRFP[tp],2026.04.08 09:45:02,2026.04.08 14:26:08
Closed,317544397,EURJPY,SELL,0.01,184.878,184.856,2.199999999999136,48367,-0.09,0,0.13,0.04,110711,MPRFP[tp],2026.04.08 01:00:01,2026.04.08 14:26:08
Closed,317536692,EURJPY,SELL,0.01,184.554,184.51,4.400000000001114,836,0,0,0.28,0.28,110711,MPRFP[tp],2026.04.07 21:30:00,2026.04.07 21:43:56
Closed,317535914,EURJPY,SELL,0.01,184.56,184.52,3.999999999999204,625,0,0,0.25,0.25,110711,MPRFP[tp],2026.04.07 21:15:01,2026.04.07 21:25:26
Closed,317512674,EURJPY,SELL,0.01,184.362,184.321,4.099999999999682,3649,0,0,0.26,0.26,110711,MPRFP[tp],2026.04.07 03:15:00,2026.04.07 04:15:49
Closed,317472322,EURJPY,SELL,0.01,184.155,184.1,5.500000000000682,915,0,0,0.34,0.34,110711,MPRFP[tp],2026.04.03 23:15:00,2026.04.03 23:30:15
Closed,317399158,EURJPY,SELL,0.01,183.87,183.819,5.100000000001614,21140,0,0,0.32,0.32,110711,MPRFP[tp],2026.04.01 23:45:01,2026.04.02 05:37:21
Closed,317377459,EURJPY,SELL,0.01,183.412,183.371,4.099999999999682,12331,0,0,0.26,0.26,110711,MPRFP[tp],2026.04.01 14:15:01,2026.04.01 17:40:32
Closed,317377134,EURJPY,SELL,0.01,183.557,183.513,4.399999999998272,231,0,0,0.27,0.27,110711,MPRFP[tp],2026.04.01 14:00:01,2026.04.01 14:03:52
Closed,317314077,EURJPY,BUY,0.01,183.018,183.06,4.200000000000159,3446,0,0,0.26,0.26,110711,MPRFP[tp],2026.03.31 07:00:01,2026.03.31 07:57:27
Closed,317312399,EURJPY,BUY,0.01,182.943,182.991,4.800000000000182,2848,0,0,0.3,0.3,110711,MPRFP[tp],2026.03.31 06:00:01,2026.03.31 06:47:29
Closed,317236947,EURJPY,BUY,0.01,184.126,184.166,3.999999999999204,6186,0,0,0.26,0.26,110711,MPRFP[tp],2026.03.27 13:15:02,2026.03.27 14:58:08
Closed,317114591,EURJPY,SELL,0.01,184.234,184.193,4.099999999999682,40867,0,0,0.25,0.25,110711,MPRFP[tp],2026.03.25 13:15:01,2026.03.26 00:36:08
Closed,316990799,EURJPY,SELL,0.01,184.04,183.997,4.2999999999977945,8436,0,0,0.27,0.27,110711,MPRFP[tp],2026.03.23 14:45:00,2026.03.23 17:05:36
Closed,316988690,EURJPY,SELL,0.01,184.233,184.192,4.099999999999682,1060,0,0,0.26,0.26,110711,MPRFP[tp],2026.03.23 14:15:00,2026.03.23 14:32:40
Closed,316963808,EURJPY,SELL,0.01,184.119,184.076,4.300000000000637,2815,0,0,0.27,0.27,110711,MPRFP[tp],2026.03.23 09:15:00,2026.03.23 10:01:55
