Status,Position/Ticket,Symbol,Type,Volume,Open Price,Close Price,Pips,Duration (s),Swap,Commission,Profit,Net P/L,Magic,Comment,Open Time,Close Time
Closed,317551142,EURUSD,SELL,0.01,1.15705,1.15709,-0.40000000000040004,564,0,0,-0.04,-0.04,110711,MPRFP,2026.04.08 04:00:00,2026.04.08 04:09:24
Closed,317534183,EURUSD,SELL,0.01,1.15684,1.15541,14.300000000000423,6729,0,0,1.43,1.43,110711,MPRFP[sl],2026.04.07 20:30:01,2026.04.07 22:22:10
Closed,317522598,EURUSD,BUY,0.01,1.15307,1.15323,1.5999999999993797,10636,0,0,0.16,0.16,110711,MPRFP[sl],2026.04.07 13:45:01,2026.04.07 16:42:17
Closed,317500250,EURUSD,SELL,0.01,1.15569,1.15482,8.700000000001484,11004,0,0,0.87,0.87,110711,MPRFP[sl],2026.04.06 19:45:00,2026.04.06 22:48:24
Closed,317481129,EURUSD,BUY,0.01,1.15104,1.15174,6.999999999999229,18253,0,0,0.7,0.7,110711,MPRFP[sl],2026.04.06 09:15:01,2026.04.06 14:19:14
Closed,317475193,EURUSD,BUY,0.01,1.15212,1.15175,-3.6999999999998145,210853,-0.09,0,-0.37,-0.46,110711,MPRFP[sl],2026.04.04 03:45:01,2026.04.06 14:19:14
Closed,317471713,EURUSD,SELL,0.01,1.15439,1.15363,7.600000000000939,7047,0,0,0.76,0.76,110711,MPRFP[sl],2026.04.03 22:15:01,2026.04.04 00:12:28
Closed,317442751,EURUSD,BUY,0.01,1.15165,1.15456,29.09999999999968,16300,0,0,2.91,2.91,110711,MPRFP[sl],2026.04.02 21:15:01,2026.04.03 01:46:41
Closed,317425208,EURUSD,BUY,0.01,1.15559,1.15456,-10.299999999998644,45101,0,0,-1.03,-1.03,110711,MPRFP[sl],2026.04.02 13:15:00,2026.04.03 01:46:41
Closed,317428397,EURUSD,BUY,0.01,1.15409,1.15456,4.699999999999704,38800,0,0,0.47,0.47,110711,MPRFP[sl],2026.04.02 15:00:01,2026.04.03 01:46:41
Closed,317432645,EURUSD,BUY,0.01,1.15276,1.15456,18.000000000000238,31601,0,0,1.8,1.8,110711,MPRFP[sl],2026.04.02 17:00:00,2026.04.03 01:46:41
Closed,317371319,EURUSD,SELL,0.01,1.1573,1.15582,14.799999999999258,94008,0.06,0,1.48,1.54,110711,MPRFP[sl],2026.04.01 11:00:00,2026.04.02 13:06:48
Closed,317366317,EURUSD,SELL,0.01,1.15583,1.15582,0.09999999999843467,108407,0.08,0,0.01,0.09,110711,MPRFP[sl],2026.04.01 07:00:01,2026.04.02 13:06:48
Closed,317357531,EURUSD,SELL,0.01,1.15445,1.15582,-13.700000000000934,120108,0.08,0,-1.37,-1.29,110711,MPRFP[sl],2026.04.01 03:45:00,2026.04.02 13:06:48
Closed,317389266,EURUSD,SELL,0.01,1.16019,1.15582,43.69999999999985,63408,0.06,0,4.37,4.43,110711,MPRFP[sl],2026.04.01 19:30:00,2026.04.02 13:06:48
Closed,317382710,EURUSD,SELL,0.01,1.15862,1.15581,28.099999999999792,70607,0.06,0,2.81,2.87,110711,MPRFP[sl],2026.04.01 17:30:01,2026.04.02 13:06:48
Closed,317354742,EURUSD,SELL,0.01,1.15156,1.15581,-42.50000000000087,123708,0.08,0,-4.25,-4.17,110711,MPRFP[sl],2026.04.01 02:45:00,2026.04.02 13:06:48
Closed,317399097,EURUSD,SELL,0.01,1.16167,1.15582,58.499999999999105,48107,0.06,0,5.85,5.91,110711,MPRFP[sl],2026.04.01 23:45:00,2026.04.02 13:06:47
Closed,317143149,EURUSD,BUY,0.01,1.15744,1.15263,-48.09999999999981,518689,-0.53,0,-4.81,-5.34,110711,MPRFP[sl],2026.03.26 01:00:00,2026.04.01 01:04:49
Closed,317188696,EURUSD,BUY,0.01,1.15443,1.15263,-18.000000000000238,441289,-0.27,0,-1.8,-2.07,110711,MPRFP[sl],2026.03.26 22:30:00,2026.04.01 01:04:49
Closed,317138029,EURUSD,BUY,0.01,1.15906,1.15263,-64.29999999999936,521389,-0.53,0,-6.43,-6.96,110711,MPRFP[sl],2026.03.26 00:15:00,2026.04.01 01:04:49
Closed,317251812,EURUSD,BUY,0.01,1.15038,1.15263,22.500000000000853,352189,-0.18,0,2.25,2.07,110711,MPRFP[sl],2026.03.27 23:15:00,2026.04.01 01:04:49
Closed,317192552,EURUSD,BUY,0.01,1.15251,1.15263,1.2000000000012,439489,-0.27,0,0.12,-0.15,110711,MPRFP[sl],2026.03.26 23:00:00,2026.04.01 01:04:49
Closed,317148429,EURUSD,BUY,0.01,1.15618,1.15263,-35.49999999999942,510588,-0.53,0,-3.55,-4.08,110711,MPRFP[sl],2026.03.26 03:15:01,2026.04.01 01:04:49
Closed,317301521,EURUSD,BUY,0.01,1.14652,1.15263,61.1000000000006,86689,-0.09,0,6.11,6.02,110711,MPRFP[sl],2026.03.31 01:00:00,2026.04.01 01:04:49
Closed,317272086,EURUSD,BUY,0.01,1.14931,1.15263,33.199999999999896,142489,-0.09,0,3.32,3.23,110711,MPRFP[sl],2026.03.30 09:30:00,2026.04.01 01:04:49
Closed,317249037,EURUSD,BUY,0.01,1.15146,1.15263,11.700000000001154,357587,-0.18,0,1.17,0.99,110711,MPRFP[sl],2026.03.27 21:45:02,2026.04.01 01:04:49
Closed,317296968,EURUSD,BUY,0.01,1.14767,1.15263,49.600000000000755,92989,-0.09,0,4.96,4.87,110711,MPRFP[sl],2026.03.30 23:15:00,2026.04.01 01:04:49
Closed,317304917,EURUSD,BUY,0.01,1.14469,1.15263,79.40000000000057,82188,-0.09,0,7.94,7.85,110711,MPRFP[sl],2026.03.31 02:15:01,2026.04.01 01:04:49
Closed,317100903,EURUSD,SELL,0.01,1.16054,1.15941,11.299999999998533,34628,0.02,0,1.13,1.15,110711,MPRFP[sl],2026.03.25 07:45:00,2026.03.25 17:22:08
Closed,317107983,EURUSD,SELL,0.01,1.16278,1.1594,33.799999999999386,20228,0,0,3.38,3.38,110711,MPRFP[sl],2026.03.25 11:45:00,2026.03.25 17:22:08
Closed,317103827,EURUSD,SELL,0.01,1.16164,1.1594,22.400000000000198,24727,0,0,2.24,2.24,110711,MPRFP[sl],2026.03.25 10:30:01,2026.03.25 17:22:08
Closed,317094703,EURUSD,BUY,0.01,1.15719,1.15795,7.600000000000939,5177,0,0,0.76,0.76,110711,MPRFP[sl],2026.03.25 04:30:00,2026.03.25 05:56:17
Closed,317083793,EURUSD,BUY,0.01,1.15712,1.15878,16.599999999999948,4015,0,0,1.66,1.66,110711,MPRFP[sl],2026.03.25 00:30:00,2026.03.25 01:36:55
Closed,317065797,EURUSD,BUY,0.01,1.15833,1.16085,25.199999999998557,2874,0,0,2.52,2.52,110711,MPRFP[sl],2026.03.24 17:30:00,2026.03.24 18:17:54
Closed,317040008,EURUSD,SELL,0.01,1.16248,1.16156,9.200000000000319,6290,0,0,0.92,0.92,110711,MPRFP[sl],2026.03.24 06:15:00,2026.03.24 07:59:50
Closed,317030318,EURUSD,SELL,0.01,1.16082,1.15911,17.099999999998783,1967,0,0,1.71,1.71,110711,MPRFP[sl],2026.03.24 02:30:00,2026.03.24 03:02:47
Closed,317000507,EURUSD,BUY,0.01,1.15331,1.15375,4.3999999999999595,4807,0,0,0.44,0.44,110711,MPRFP[sl],2026.03.23 18:15:00,2026.03.23 19:35:07
Closed,316950154,EURUSD,BUY,0.01,1.15361,1.15406,4.500000000000615,1184,0,0,0.45,0.45,110711,MPRFP[sl],2026.03.21 02:00:00,2026.03.21 02:19:44
Closed,316939045,EURUSD,BUY,0.01,1.15584,1.15726,14.199999999999768,3901,0,0,1.42,1.42,110711,MPRFP[sl],2026.03.20 21:45:00,2026.03.20 22:50:01
Closed,316913169,EURUSD,SELL,0.01,1.15846,1.15807,3.900000000001125,15424,0.02,0,0.39,0.41,110711,MPRFP[sl],2026.03.20 07:00:00,2026.03.20 11:17:04
Closed,316885502,EURUSD,SELL,0.01,1.1481,1.15069,-25.900000000000922,7478,0,0,-2.59,-2.59,110711,MPRFP[sl],2026.03.20 00:45:00,2026.03.20 02:49:38
Closed,316886709,EURUSD,SELL,0.01,1.15181,1.15069,11.200000000000099,6578,0,0,1.12,1.12,110711,MPRFP[sl],2026.03.20 01:00:00,2026.03.20 02:49:38
Closed,316891739,EURUSD,SELL,0.01,1.15298,1.15069,22.899999999999032,2078,0,0,2.29,2.29,110711,MPRFP[sl],2026.03.20 02:15:00,2026.03.20 02:49:38
Closed,316851684,EURUSD,BUY,0.01,1.14566,1.14741,17.500000000001403,11715,0,0,1.75,1.75,110711,MPRFP[sl],2026.03.19 09:45:07,2026.03.19 13:00:22
Closed,316836964,EURUSD,BUY,0.01,1.15062,1.15087,2.500000000000835,1639,0,0,0.25,0.25,110711,MPRFP[sl],2026.03.19 00:45:00,2026.03.19 01:12:19
Closed,316829088,EURUSD,SELL,0.01,1.15431,1.15295,13.600000000000279,3335,0,0,1.36,1.36,110711,MPRFP[sl],2026.03.18 22:45:02,2026.03.18 23:40:37
Closed,316819799,EURUSD,BUY,0.01,1.15269,1.15372,10.300000000000864,6239,0,0,1.03,1.03,110711,MPRFP[sl],2026.03.18 19:45:02,2026.03.18 21:29:01
Closed,316787355,EURUSD,SELL,0.01,1.15093,1.1526,-16.700000000000603,82207,0.02,0,-1.67,-1.65,110711,MPRFP[sl],2026.03.17 20:45:00,2026.03.18 19:35:07
Closed,316803461,EURUSD,SELL,0.01,1.15441,1.1526,18.099999999998673,51604,0.02,0,1.81,1.83,110711,MPRFP[sl],2026.03.18 05:15:03,2026.03.18 19:35:07
Closed,316791694,EURUSD,SELL,0.01,1.15216,1.1526,-4.3999999999999595,73207,0.02,0,-0.44,-0.42,110711,MPRFP[sl],2026.03.17 23:15:00,2026.03.18 19:35:07
Closed,316793867,EURUSD,SELL,0.01,1.1533,1.1526,6.999999999999229,69607,0.02,0,0.7,0.72,110711,MPRFP[sl],2026.03.18 00:15:00,2026.03.18 19:35:07
Closed,316780522,EURUSD,BUY,0.01,1.14791,1.14824,3.2999999999994145,2009,0,0,0.33,0.33,110711,MPRFP[sl],2026.03.17 17:45:00,2026.03.17 18:18:29
Closed,316764707,EURUSD,SELL,0.01,1.15049,1.14955,9.399999999999409,24975,0.02,0,0.94,0.96,110711,MPRFP[sl],2026.03.17 05:15:00,2026.03.17 12:11:15
Closed,316765298,EURUSD,SELL,0.01,1.15206,1.14955,25.100000000000122,24073,0.02,0,2.51,2.53,110711,MPRFP[sl],2026.03.17 05:30:02,2026.03.17 12:11:15
Closed,316764237,EURUSD,SELL,0.01,1.14918,1.14955,-3.6999999999998145,25875,0.02,0,-0.37,-0.35,110711,MPRFP[sl],2026.03.17 05:00:00,2026.03.17 12:11:15
Closed,316756641,EURUSD,SELL,0.01,1.14835,1.1484,-0.5000000000010552,6684,0,0,-0.05,-0.05,110711,MPRFP[sl],2026.03.17 01:45:02,2026.03.17 03:36:26
Closed,316757909,EURUSD,SELL,0.01,1.14965,1.1484,12.499999999999734,4886,0,0,1.25,1.25,110711,MPRFP[sl],2026.03.17 02:15:00,2026.03.17 03:36:26
Closed,316689050,EURUSD,BUY,0.01,1.14725,1.14938,21.299999999999653,282917,-0.09,0,2.13,2.04,110711,MPRFP[sl],2026.03.13 18:30:00,2026.03.17 01:05:17
Closed,316690342,EURUSD,BUY,0.01,1.14595,1.14938,34.30000000000044,281117,-0.09,0,3.43,3.34,110711,MPRFP[sl],2026.03.13 19:00:00,2026.03.17 01:05:17
Closed,316670996,EURUSD,BUY,0.01,1.15108,1.14938,-17.000000000000348,322516,-0.18,0,-1.7,-1.88,110711,MPRFP[sl],2026.03.13 07:30:01,2026.03.17 01:05:17
Closed,316658431,EURUSD,BUY,0.01,1.15209,1.14938,-27.099999999999902,344117,-0.18,0,-2.71,-2.89,110711,MPRFP[sl],2026.03.13 01:30:00,2026.03.17 01:05:17
Closed,316691424,EURUSD,BUY,0.01,1.14412,1.14938,52.60000000000042,280216,-0.09,0,5.26,5.17,110711,MPRFP[sl],2026.03.13 19:15:01,2026.03.17 01:05:17
Closed,316685184,EURUSD,BUY,0.01,1.14982,1.14938,-4.3999999999999595,286516,-0.09,0,-0.44,-0.53,110711,MPRFP[sl],2026.03.13 17:30:01,2026.03.17 01:05:17
Closed,316686480,EURUSD,BUY,0.01,1.14834,1.14939,10.499999999999954,284717,-0.09,0,1.05,0.96,110711,MPRFP[sl],2026.03.13 18:00:00,2026.03.17 01:05:17
Closed,316714511,EURUSD,BUY,0.01,1.14291,1.14939,64.79999999999819,240617,-0.09,0,6.48,6.39,110711,MPRFP[sl],2026.03.14 06:15:00,2026.03.17 01:05:17
Closed,316656422,EURUSD,BUY,0.01,1.15347,1.14939,-40.800000000000836,346817,-0.18,0,-4.08,-4.26,110711,MPRFP[sl],2026.03.13 00:45:00,2026.03.17 01:05:17
Closed,316715576,EURUSD,BUY,0.01,1.14172,1.14939,76.69999999999844,237017,-0.09,0,7.67,7.58,110711,MPRFP[sl],2026.03.14 07:15:00,2026.03.17 01:05:17
Closed,316623261,EURUSD,BUY,0.01,1.157,1.15532,-16.80000000000126,63117,-0.26,0,-1.68,-1.94,110711,MPRFP[sl],2026.03.12 03:45:00,2026.03.12 21:16:57
Closed,316632375,EURUSD,BUY,0.01,1.15347,1.15532,18.499999999999073,36117,0,0,1.85,1.85,110711,MPRFP[sl],2026.03.12 11:15:00,2026.03.12 21:16:57
Closed,316629311,EURUSD,BUY,0.01,1.15516,1.15532,1.5999999999993797,41516,0,0,0.16,0.16,110711,MPRFP[sl],2026.03.12 09:45:01,2026.03.12 21:16:57
Closed,316614518,EURUSD,BUY,0.01,1.15886,1.15908,2.20000000000109,3144,0,0,0.22,0.22,110711,MPRFP[sl],2026.03.12 00:30:01,2026.03.12 01:22:25
Closed,316605882,EURUSD,BUY,0.01,1.15931,1.1604,10.900000000000354,5721,0,0,1.09,1.09,110711,MPRFP[sl],2026.03.11 20:30:00,2026.03.11 22:05:21
Closed,316588861,EURUSD,BUY,0.01,1.16089,1.16169,7.999999999999119,5488,0,0,0.8,0.8,110711,MPRFP[sl],2026.03.11 10:30:00,2026.03.11 12:01:28
Closed,316561961,EURUSD,SELL,0.01,1.16538,1.1651,2.80000000000058,2085,0,0,0.28,0.28,110711,MPRFP[sl],2026.03.10 19:30:00,2026.03.10 20:04:45
Closed,316534935,EURUSD,SELL,0.01,1.15827,1.16154,-32.70000000000106,40602,0.02,0,-3.27,-3.25,110711,MPRFP[sl],2026.03.10 04:45:01,2026.03.10 16:01:43
Closed,316540108,EURUSD,SELL,0.01,1.16176,1.16154,2.1999999999988695,34302,0.02,0,0.22,0.24,110711,MPRFP[sl],2026.03.10 06:30:01,2026.03.10 16:01:43
Closed,316543620,EURUSD,SELL,0.01,1.16329,1.16153,17.599999999999838,28602,0,0,1.76,1.76,110711,MPRFP[sl],2026.03.10 08:05:01,2026.03.10 16:01:43
Closed,316544383,EURUSD,SELL,0.01,1.16451,1.16153,29.799999999999827,24401,0,0,2.98,2.98,110711,MPRFP[sl],2026.03.10 09:15:02,2026.03.10 16:01:43
Closed,316495940,EURUSD,BUY,0.01,1.1524,1.15503,26.299999999999102,19162,0,0,2.63,2.63,110711,MPRFP[sl],2026.03.09 11:15:01,2026.03.09 16:34:23
Closed,316500697,EURUSD,BUY,0.01,1.15105,1.15503,39.80000000000095,12863,0,0,3.98,3.98,110711,MPRFP[sl],2026.03.09 13:00:00,2026.03.09 16:34:23
Closed,316491745,EURUSD,BUY,0.01,1.15347,1.15503,15.600000000000058,24561,0,0,1.56,1.56,110711,MPRFP[sl],2026.03.09 09:45:02,2026.03.09 16:34:23
Closed,316483095,EURUSD,SELL,0.01,1.16022,1.15503,51.900000000000276,184801,0.02,0,5.19,5.21,110711,MPRFP[tp],2026.03.07 04:45:00,2026.03.09 08:05:01
Closed,316485252,EURUSD,SELL,0.01,1.16166,1.15503,66.29999999999913,175797,0.02,0,6.63,6.65,110711,MPRFP[tp],2026.03.07 07:15:04,2026.03.09 08:05:01
Closed,316473931,EURUSD,BUY,0.01,1.1567,1.15819,14.899999999999913,2158,0,0,1.49,1.49,110711,MPRFP[sl],2026.03.07 00:45:00,2026.03.07 01:20:58
Closed,316467229,EURUSD,BUY,0.01,1.15649,1.15831,18.199999999999328,3640,0,0,1.82,1.82,110711,MPRFP[sl],2026.03.06 22:45:01,2026.03.06 23:45:41
Closed,316457600,EURUSD,SELL,0.01,1.16148,1.16089,5.9000000000009045,2969,0,0,0.59,0.59,110711,MPRFP[sl],2026.03.06 17:45:00,2026.03.06 18:34:29
Closed,316438540,EURUSD,BUY,0.01,1.15849,1.15964,11.499999999999844,11993,0,0,1.15,1.15,110711,MPRFP[sl],2026.03.06 03:00:00,2026.03.06 06:19:53
Closed,316444519,EURUSD,BUY,0.01,1.15736,1.15964,22.800000000000598,1193,0,0,2.28,2.28,110711,MPRFP[sl],2026.03.06 06:00:00,2026.03.06 06:19:53
Closed,316436017,EURUSD,BUY,0.01,1.15835,1.15741,-9.399999999999409,3087,0,0,-0.94,-0.94,110711,MPRFP[sl],2026.03.06 02:00:00,2026.03.06 02:51:27
Closed,316437372,EURUSD,BUY,0.01,1.15609,1.15741,13.199999999999878,1286,0,0,1.32,1.32,110711,MPRFP[sl],2026.03.06 02:30:01,2026.03.06 02:51:27
Closed,316420898,EURUSD,BUY,0.01,1.15989,1.16326,33.69999999999873,969,0,0,3.37,3.37,110711,MPRFP[sl],2026.03.05 19:00:00,2026.03.05 19:16:09
Closed,316411750,EURUSD,BUY,0.01,1.16137,1.16061,-7.600000000000939,13859,0,0,-0.76,-0.76,110711,MPRFP[sl],2026.03.05 14:00:00,2026.03.05 17:50:59
Closed,316414098,EURUSD,BUY,0.01,1.15948,1.16061,11.299999999998533,6659,0,0,1.13,1.13,110711,MPRFP[sl],2026.03.05 16:00:00,2026.03.05 17:50:59
Closed,316384663,EURUSD,SELL,0.01,1.16473,1.16372,10.099999999999554,1337,0,0,1.01,1.01,110711,MPRFP[sl],2026.03.04 22:15:00,2026.03.04 22:37:17
Closed,316381935,EURUSD,SELL,0.01,1.16356,1.16372,-1.6000000000016001,7637,0,0,-0.16,-0.16,110711,MPRFP[sl],2026.03.04 20:30:00,2026.03.04 22:37:17
Closed,316268523,EURUSD,BUY,0.01,1.16918,1.1697,5.199999999998539,18728,-0.09,0,0.52,0.43,110711,MPRFP[sl],2026.03.03 06:45:00,2026.03.03 11:57:08
Closed,316254211,EURUSD,BUY,0.01,1.17028,1.17009,-1.8999999999991246,9168,0,0,-0.19,-0.19,110711,MPRFP[sl],2026.03.03 01:30:00,2026.03.03 04:02:48
Closed,316255888,EURUSD,BUY,0.01,1.16808,1.1701,20.199999999999108,7367,0,0,2.02,2.02,110711,MPRFP[sl],2026.03.03 02:00:01,2026.03.03 04:02:48
Closed,316252230,EURUSD,BUY,0.01,1.17141,1.17013,-12.800000000001699,10968,0,0,-1.28,-1.28,110711,MPRFP[sl],2026.03.03 01:00:00,2026.03.03 04:02:48
