Status,Position/Ticket,Symbol,Type,Volume,Open Price,Close Price,Pips,Duration (s),Swap,Commission,Profit,Net P/L,Magic,Comment,Open Time,Close Time
Open,58204554,GBPUSD,SELL,0.01,1.35855,,,,0,-0.06,1.93,,110711,MPRFP,2026.04.14 23:30:01,
Open,58202136,GBPUSD,SELL,0.01,1.35593,,,,0,-0.06,-0.69,,110711,MPRFP,2026.04.14 22:00:01,
Open,58198500,GBPUSD,SELL,0.01,1.35377,,,,0,-0.06,-2.85,,110711,MPRFP,2026.04.14 19:45:01,
Open,58195457,GBPUSD,SELL,0.01,1.35226,,,,0,-0.06,-4.36,,110711,MPRFP,2026.04.14 18:00:01,
Open,58191552,GBPUSD,SELL,0.01,1.35073,,,,0,-0.06,-5.89,,110711,MPRFP,2026.04.14 14:15:02,
Closed,58150570,GBPUSD,SELL,0.01,1.34563,1.34027,53.600000000000314,187260,0,-0.06,5.36,5.3,110711,MPRFP[tp],2026.04.11 04:00:01,2026.04.13 08:01:01
Closed,58094814,GBPUSD,SELL,0.01,1.34152,1.34074,7.800000000000029,2273,0,-0.06,0.78,0.72,110711,MPRFP[tp],2026.04.09 04:45:01,2026.04.09 05:22:54
Closed,58093691,GBPUSD,SELL,0.01,1.34206,1.34135,7.099999999999884,2330,0,-0.06,0.71,0.65,110711,MPRFP[tp],2026.04.09 03:45:01,2026.04.09 04:23:51
Closed,58083424,GBPUSD,SELL,0.01,1.34545,1.34441,10.399999999999299,8586,0,-0.06,1.04,0.98,110711,MPRFP[tp],2026.04.08 22:15:01,2026.04.09 00:38:07
Closed,58084969,GBPUSD,SELL,0.01,1.34744,1.34441,30.29999999999866,4986,0,-0.06,3.03,2.97,110711,MPRFP[tp],2026.04.08 23:15:01,2026.04.09 00:38:07
Closed,58080470,GBPUSD,SELL,0.01,1.34283,1.34441,-15.800000000001369,16686,0,-0.06,-1.58,-1.64,110711,MPRFP[tp],2026.04.08 20:00:01,2026.04.09 00:38:07
